t,x_R,Gly,PHB,N,x_T,mu_x_R,mu_p
0,0.25,2.730770559949316,0.0,8.775589033726107e-09,0.25,2.1688819288606495e-07,0.13948919474673702
1,0.25000000005357775,2.6561086128203915,0.026131681493039936,8.590838159511748e-09,0.2761316815466177,2.108416954743682e-07,0.1394748901101485
2,0.2500000002014498,2.583892805761812,0.05140721395779226,8.080934406147372e-09,0.30140721415924204,1.969172725088765e-07,0.13946027068007621
3,0.2500000004187984,2.5140429302726264,0.07585467037055459,7.331456563997707e-09,0.325854670789353,1.7735967127375156e-07,0.13944533431534928
4,0.25000000067774536,2.44648138905534,0.09950120978653473,6.4385358979634804e-09,0.34950121046428007,1.5460959779437222e-07,0.139430079134227
5,0.2500000009522659,2.381133144124383,0.12237309550169395,5.491913441722063e-09,0.37237309645395983,1.3088846117241698e-07,0.13941450353634874
6,0.250000001221308,2.3179255924179953,0.14449573858846684,4.564182022830249e-09,0.3944957398097748,1.0794784086287251e-07,0.13939860620779176
7,0.25000000146980766,2.2567885091825235,0.16589371771121808,3.707286582516435e-09,0.41589371918102574,8.700152650368607e-08,0.13938238614042261
8,0.2500000016884929,2.1976539679127463,0.18659080714713555,2.953199431240773e-09,0.43659080883562845,6.875923678753777e-08,0.13936584264547364
9,0.25000000187493987,2.1404563252791635,0.206609982061639,2.310278852809012e-09,0.45660998393657887,5.336046540891181e-08,0.13934897538557592
10,0.25000000202905004,2.0851320718819735,0.22597347074466234,1.7788644758208895e-09,0.4759734727737124,4.075359865879959e-08,0.13933178436873297
11,0.2500000021534754,2.031619734630553,0.24470278877782076,1.3498115949028233e-09,0.49470279093129615,3.06702101625049e-08,0.1393142699513269
12,0.2500000022551674,1.979859818256519,0.262818759504778,9.991494964319172e-10,0.5128187617599453,2.251380281201818e-08,0.1392964328506182
13,0.25000000233553465,1.929794855464235,0.280341496478952,7.220209109908869e-10,0.5303414988144867,1.613240020091837e-08,0.13927827419685318
14,0.25000000239292014,1.8813692757642888,0.2972904493717014,5.241400937803743e-10,0.5472904517646215,1.1611418121496732e-08,0.13925979552595075
15,0.25000000243189735,1.83452929917785,0.31368444117543925,3.897357492257298e-10,0.5636844436073366,8.559659556806538e-09,0.13924099877371207
16,0.25000000245897513,1.7892228957548393,0.32954168237243997,2.963641270572989e-10,0.5795416848314151,6.452408318499513e-09,0.13922188629140772
17,0.25000000247923665,1.7453997577513074,0.34487978067288816,2.2649687089282063e-10,0.5948797831521249,4.88800811085394e-09,0.139202460867493
18,0.2500000024977026,1.703011225959286,0.3597157667993776,1.6282108713492223e-10,0.6097157692970803,3.4827267210867684e-09,0.13918272572953164
19,0.2500000025146826,1.6620102368410783,0.37406611299008996,1.0426961592796127e-10,0.6240661155047725,2.2104114631496187e-09,0.1391626845523117
20,0.25000000252551485,1.6223512678090677,0.3879467521508725,6.691685618071974e-11,0.6379467546763873,1.4058115853811967e-09,0.1391423414631343
21,0.25000000252979393,1.5839902912215098,0.4013730939563513,5.216144357803821e-11,0.6513730964861453,1.085898348701138e-09,0.13912170104942914
22,0.2500000025306831,1.5468847215584072,0.4143600433384027,4.909554806251229e-11,0.6643600458690858,1.0127530240962787e-09,0.13910076836093643
23,0.25000000253094584,1.5109933711384085,0.42692201598539203,4.81895408451503e-11,0.6769220185163378,9.84945372614671e-10,0.13907954891417304
24,0.2500000025342374,1.4762764029975854,0.4390729548345521,3.6839516390829505e-11,0.6890729573687895,7.460182418369125e-10,0.13905804869324684
25,0.25000000254166554,1.442695293499583,0.4508263431585641,1.1225145774673906e-11,0.7008263457002297,2.2520817895556317e-10,0.13903627415448744
26,0.2500000025533819,1.410212780258627,0.462195222792443,-2.917622186971872e-11,0.7121952253458249,-5.799099707839257e-10,0.13901423221966427
27,0.2500000025694774,1.378792812097331,0.4731922116482707,-8.467797031972344e-11,0.723192214217748,-1.6673481111798285e-09,0.13899193026648393
28,0.2500000025873168,1.348400509857475,0.4838295174315264,-1.4619311491839849e-10,0.7338295200188432,-2.8516374560186744e-09,0.13896937612299123
29,0.2500000026042779,1.3190021492015587,0.49411894366043757,-2.046796564064321e-10,0.7441189462647155,-3.9549693476903494e-09,0.1389465780767615
30,0.2500000026159727,1.2905651266758118,0.5040719015439942,-2.450065805746043e-10,0.7540719041599668,-4.689634829953832e-09,0.1389235448719294
31,0.25000000261111816,1.2630579147048488,0.51369942573402,-2.2826672776899942e-10,0.7636994283451382,-4.328035245302025e-09,0.13890028569491705
32,0.2500000025781485,1.236450028563137,0.5230121858849013,-1.1457799752631593e-10,0.7730121884630498,-2.151952312984144e-09,0.13887681016653844
33,0.2500000025315503,1.2107119515623435,0.5320205128369911,4.610533946732224e-11,0.7820205153685414,8.577574345242241e-10,0.13885312829270807
34,0.25000000249743504,1.1858151336468645,0.5407343991087354,1.6374416355068006e-10,0.7907344016061705,3.017601031919196e-09,0.13882925047475322
35,0.25000000249932863,1.1617319627985816,0.5491635089055609,1.5721461819437618e-10,0.7991635114048895,2.8699528112460586e-09,0.13880518749641665
36,0.25000000252695637,1.1384357533933196,0.5573171821963282,6.19465522639887e-11,0.8073171847232845,1.1201860271170174e-09,0.13878095052695516
37,0.25000000256400773,1.1159006958168936,0.5652044523466363,-6.581682207303945e-11,0.8152044549106441,-1.178985980111821e-09,0.13875655108376655
38,0.25000000259636346,1.0941018222286254,0.5728340581012719,-1.7738836407453004e-10,0.8228340606976353,-3.1477866899432954e-09,0.13873200100587274
39,0.2500000026111377,1.0730149781814091,0.5802144535172231,-2.2833401279765434e-10,0.8302144561283609,-4.013941739671329e-09,0.13870731243038684
40,0.25000000258347954,1.0526168045909061,0.5873538142749746,-1.3296092634603488e-10,0.8373538168584541,-2.31557439626896e-09,0.13868249777911337
41,0.2500000025207153,1.0328847115868347,0.5942600468288405,8.346747793445367e-11,0.8442600493495558,1.4401319495109568e-09,0.13865756973475069
42,0.25000000246026,1.0137968514630753,0.6009407978745074,2.9193412340967844e-10,0.8509408003347674,4.990432885805309e-09,0.13863254121362134
43,0.250000002461328,0.995332093924744,0.6074034630128817,2.8825139137753055e-10,0.8574034654742098,4.882173489485023e-09,0.13860742533889028
44,0.2500000025091763,0.977470002292516,0.6136551950823007,1.2325716958999134e-10,0.863655197591477,2.0685424587942674e-09,0.13858223541297485
45,0.25000000257303184,0.9601908120167497,0.6197029116763356,-9.693441969365447e-11,0.8697029142493675,-1.6119984535070846e-09,0.138556984891364
46,0.2500000026097311,0.9434754082201628,0.6255533030037138,-2.2348359430454666e-10,0.8755533056134449,-3.682920543738066e-09,0.13853168735351723
47,0.250000002623496,0.9273053029279311,0.6312128398554596,-2.7094858892427886e-10,0.8812128424789556,-4.425080919086471e-09,0.1385063564714435
48,0.2500000025974777,0.9116626158650024,0.6366877803284966,-1.8123038989252606e-10,0.8866877829259743,-2.933473854446131e-09,0.1384810059821228
49,0.2500000025355088,0.8965300560128592,0.6419841762791566,3.245539975654409e-11,0.8919841788146654,5.206980568865495e-10,0.13845564966024673
50,0.2500000024638571,0.8818908982449856,0.6471078815006988,2.7953012258097394e-10,0.8971078839645559,4.4453702906457975e-09,0.13843030128151904
51,0.2500000024497593,0.8677289691599502,0.6520645566810095,3.28143417030825e-10,0.9020645591307688,5.1731783370385315e-09,0.13840497460014348
52,0.2500000024904747,0.8540286263133815,0.6568596766757251,1.8774529435850647e-10,0.9068596791661998,2.9343560887576553e-09,0.13837968331445974
53,0.2500000025403093,0.84077474155536,0.6614985363390946,1.5901892959965714e-11,0.9114985388794039,2.464220480716157e-10,0.13835444103871658
54,0.2500000025611368,0.8279526845407833,0.6659862562933865,-5.5916980021926155e-11,0.9159862588545233,-8.592108499194654e-10,0.13832926127473746
55,0.2500000025614325,0.8155483060151584,0.6703277887773438,-5.693666288220468e-11,0.9203277913387763,-8.675868650490884e-10,0.13830415738267618
56,0.25000000255003163,0.8035479206613121,0.6745279236516334,-1.762332793288693e-11,0.924527926201665,-2.663266436330966e-10,0.13827914255024834
57,0.25000000253287485,0.7919382947297507,0.6785912927283471,4.1537981334738303e-11,0.9285912952612219,6.226152833900303e-10,0.13825422977154148
58,0.2500000025197631,0.7807066295222447,0.6825223755514841,8.67508081353511e-11,0.9325223780712473,1.2898483526277792e-09,0.13822943181740377
59,0.2500000025278225,0.769840545288945,0.6863255050328255,5.895987653228114e-11,0.936325507560648,8.696739566710567e-10,0.13820476120604724
60,0.25000000254586147,0.7593280728900658,0.6900048703717316,-3.2433670580885437e-12,0.9400048729175932,-4.746524741079882e-11,0.1381802301913399
61,0.2500000025564698,0.74915763395195,0.6935645239996597,-3.982385261255389e-11,0.9435645265561295,-5.782937518675887e-10,0.13815585072534672
62,0.2500000025543739,0.7393180322175887,0.6970083846067676,-3.2596554975987526e-11,0.9470083871611414,-4.69730907302644e-10,0.1381316344465157
63,0.2500000025479839,0.7297984403474003,0.700340241761582,-1.056206483697972e-11,0.9503402443095659,-1.5105872640099022e-10,0.13810759265815353
64,0.2500000025438746,0.7205883848798661,0.7035637611753789,3.6077740486830335e-12,0.9535637637192536,5.121579086735048e-11,0.1380837363021721
65,0.25000000254103,0.7116777398093748,0.7066824869501614,1.34167277347483e-11,0.9566824894911914,1.8907204421879417e-10,0.13806007595527361
66,0.250000002540942,0.7030567099300524,0.7096998474079277,1.372005186809608e-11,0.9596998499488697,1.9195602349429637e-10,0.1380366217994957
67,0.2500000025438835,0.6947158227207656,0.7126191579310637,3.577038453462987e-12,0.9626191604749472,4.969176858771401e-11,0.1380133836152637
68,0.2500000025469297,0.6866459183288393,0.7154436244681195,-6.9271531501318604e-12,0.9654436270150493,-9.556094951702614e-11,0.13799037077062273
69,0.2500000025465676,0.67883813673843,0.7181763480247768,-5.6785010128976205e-12,0.9681763505713444,-7.779908576710897e-11,0.13796759220296828
70,0.25000000254477045,0.6712839107767427,0.7208203271114373,5.186478167025109e-13,0.9708203296562077,7.0579572847928245e-12,0.13794505641795676
